Sl/No,Date,Time,Temperature,Humidity,CO_ppb,SO2_ppb,NO2_ppb,O3_ppb,CO2_ppm,PM2.5_ug/m3,PM10_ug/m3,AQI_PM2.5,AQI_PM10,Overall_AQI,Battery_Percentage,Rain_Detected
172,2025-02-14,12:39:10,31.30,61.00,277.94,6.41,2.57,4.28,223.05,21.38,42.76,70,39,70,100.00,No
1,2025-02-14,12:39:12,31.30,61.00,267.84,6.18,2.47,4.12,216.79,20.60,41.21,68,38,68,100.00,No
2,2025-02-14,12:39:14,31.30,61.00,267.84,6.18,2.47,4.12,216.79,20.60,41.21,68,38,68,100.00,No
3,2025-02-14,12:39:17,31.30,61.00,267.23,6.17,2.47,4.11,216.41,20.56,41.11,68,38,68,100.00,No
4,2025-02-14,12:39:19,31.30,61.00,269.06,6.21,2.48,4.14,217.55,20.70,41.39,69,38,69,100.00,No
5,2025-02-14,12:39:21,31.30,61.00,268.45,6.19,2.48,4.13,217.17,20.65,41.30,68,38,68,100.00,No
6,2025-02-14,12:39:23,31.30,61.00,269.06,6.21,2.48,4.14,217.55,20.70,41.39,69,38,69,100.00,No
7,2025-02-14,12:39:25,31.30,61.00,268.45,6.19,2.48,4.13,217.17,20.65,41.30,68,38,68,100.00,No
8,2025-02-14,12:39:27,31.30,61.00,268.45,6.19,2.48,4.13,217.17,20.65,41.30,68,38,68,100.00,No
9,2025-02-14,12:39:29,31.40,61.00,268.45,6.19,2.48,4.13,217.17,20.65,41.30,68,38,68,100.00,No
10,2025-02-14,12:39:31,31.40,61.00,268.45,6.19,2.48,4.13,217.17,20.65,41.30,68,38,68,100.00,No
11,2025-02-14,12:39:33,31.30,61.00,269.06,6.21,2.48,4.14,217.55,20.70,41.39,69,38,69,100.00,No
12,2025-02-14,12:39:35,31.40,61.00,269.06,6.21,2.48,4.14,217.55,20.70,41.39,69,38,69,100.00,No
13,2025-02-14,12:39:37,31.40,61.00,268.45,6.19,2.48,4.13,217.17,20.65,41.30,68,38,68,100.00,No
14,2025-02-14,12:39:40,31.40,61.00,269.06,6.21,2.48,4.14,217.55,20.70,41.39,69,38,69,100.00,No
15,2025-02-14,12:39:42,31.40,61.00,269.06,6.21,2.48,4.14,217.55,20.70,41.39,69,38,69,100.00,No
16,2025-02-14,12:39:44,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
17,2025-02-14,12:39:46,31.40,61.00,269.06,6.21,2.48,4.14,217.55,20.70,41.39,69,38,69,100.00,No
18,2025-02-14,12:39:48,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
19,2025-02-14,12:39:50,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
20,2025-02-14,12:39:52,31.40,61.00,269.06,6.21,2.48,4.14,217.55,20.70,41.39,69,38,69,100.00,No
21,2025-02-14,12:39:54,31.40,61.00,269.06,6.21,2.48,4.14,217.55,20.70,41.39,69,38,69,100.00,No
22,2025-02-14,12:39:56,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
23,2025-02-14,12:39:59,31.40,61.00,269.06,6.21,2.48,4.14,217.55,20.70,41.39,69,38,69,100.00,No
24,2025-02-14,12:40:01,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
25,2025-02-14,12:40:03,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
26,2025-02-14,12:40:05,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
27,2025-02-14,12:40:07,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
28,2025-02-14,12:40:09,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
29,2025-02-14,12:40:11,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
30,2025-02-14,12:40:13,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
31,2025-02-14,12:40:15,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
32,2025-02-14,12:40:17,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
33,2025-02-14,12:40:20,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
34,2025-02-14,12:40:22,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
35,2025-02-14,12:40:24,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
36,2025-02-14,12:40:26,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
37,2025-02-14,12:40:28,31.40,61.00,270.30,6.24,2.50,4.16,218.32,20.79,41.58,69,38,69,100.00,No
38,2025-02-14,12:40:30,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
39,2025-02-14,12:40:32,31.40,61.00,269.68,6.22,2.49,4.15,217.94,20.74,41.49,69,38,69,100.00,No
