Sl/No,Date,Time,Temperature,Humidity,CO_ppb,SO2_ppb,NO2_ppb,O3_ppb,CO2_ppm,PM2.5_ug/m3,PM10_ug/m3,AQI_PM2.5,AQI_PM10,Overall_AQI,Battery_Percentage,Rain_Detected
1,2025-02-14,23:47:59,31.00,66.00,327.81,7.56,3.03,5.04,253.24,25.22,50.43,78,46,78,100.00,No
2,2025-02-14,23:48:02,31.00,66.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
3,2025-02-14,23:48:04,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
4,2025-02-14,23:48:06,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
5,2025-02-14,23:48:08,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
6,2025-02-14,23:48:10,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
7,2025-02-14,23:48:12,31.00,66.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
8,2025-02-14,23:48:14,31.00,66.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
9,2025-02-14,23:48:16,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
10,2025-02-14,23:48:19,31.00,66.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
11,2025-02-14,23:48:21,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
12,2025-02-14,23:48:23,31.00,66.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
13,2025-02-14,23:48:25,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
14,2025-02-14,23:48:27,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
15,2025-02-14,23:48:29,31.00,66.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
16,2025-02-14,23:48:31,31.00,66.00,327.81,7.56,3.03,5.04,253.24,25.22,50.43,78,46,78,100.00,No
17,2025-02-14,23:48:34,31.00,66.00,327.81,7.56,3.03,5.04,253.24,25.22,50.43,78,46,78,100.00,No
18,2025-02-14,23:48:36,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
19,2025-02-14,23:48:38,31.00,66.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
20,2025-02-14,23:48:40,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
21,2025-02-14,23:48:42,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
22,2025-02-14,23:48:44,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
23,2025-02-14,23:48:46,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
24,2025-02-14,23:48:48,31.00,66.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
25,2025-02-14,23:48:51,31.00,66.00,327.81,7.56,3.03,5.04,253.24,25.22,50.43,78,46,78,100.00,No
26,2025-02-14,23:48:53,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
27,2025-02-14,23:48:55,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
28,2025-02-14,23:48:57,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
29,2025-02-14,23:48:59,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
30,2025-02-14,23:49:01,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
31,2025-02-14,23:49:03,31.00,66.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
32,2025-02-14,23:49:06,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
33,2025-02-14,23:49:08,31.00,66.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
34,2025-02-14,23:49:10,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
35,2025-02-14,23:49:12,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
36,2025-02-14,23:49:14,31.00,66.00,326.94,7.54,3.02,5.03,252.72,25.15,50.30,78,46,78,100.00,No
37,2025-02-14,23:49:16,31.00,66.00,326.94,7.54,3.02,5.03,252.72,25.15,50.30,78,46,78,100.00,No
38,2025-02-14,23:49:18,31.00,66.00,327.81,7.56,3.03,5.04,253.24,25.22,50.43,78,46,78,100.00,No
39,2025-02-14,23:49:20,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
40,2025-02-14,23:49:23,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
41,2025-02-14,23:49:25,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
42,2025-02-14,23:49:27,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
43,2025-02-14,23:49:29,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
44,2025-02-14,23:49:31,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
45,2025-02-14,23:49:33,31.00,66.00,327.81,7.56,3.03,5.04,253.24,25.22,50.43,78,46,78,100.00,No
46,2025-02-14,23:49:35,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
47,2025-02-14,23:49:38,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
48,2025-02-14,23:49:40,31.00,66.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
49,2025-02-14,23:49:42,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
50,2025-02-14,23:49:44,31.00,66.00,327.81,7.56,3.03,5.04,253.24,25.22,50.43,78,46,78,100.00,No
51,2025-02-14,23:49:46,31.00,66.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
52,2025-02-14,23:49:48,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
53,2025-02-14,23:49:50,31.00,66.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
54,2025-02-14,23:49:53,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
55,2025-02-14,23:49:55,31.00,66.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
