Sl/No,Date,Time,Temperature,Humidity,CO_ppb,SO2_ppb,NO2_ppb,O3_ppb,CO2_ppm,PM2.5_ug/m3,PM10_ug/m3,AQI_PM2.5,AQI_PM10,Overall_AQI,Battery_Percentage,Rain_Detected
173,2025-02-13,22:56:18,31.10,63.00,326.94,7.54,3.02,5.03,252.72,25.15,50.30,78,46,78,0.00,No
1,2025-02-13,22:56:20,31.10,63.00,317.60,7.33,2.93,4.89,247.15,24.43,48.86,76,45,76,0.00,No
2,2025-02-13,22:56:22,31.10,63.00,322.63,7.45,2.98,4.96,250.16,24.82,49.64,77,45,77,0.00,No
3,2025-02-13,22:56:24,31.10,63.00,322.63,7.45,2.98,4.96,250.16,24.82,49.64,77,45,77,0.00,No
4,2025-02-13,22:56:26,31.10,63.00,322.63,7.45,2.98,4.96,250.16,24.82,49.64,77,45,77,0.00,No
5,2025-02-13,22:56:28,31.10,63.00,251.08,5.79,2.32,3.86,206.29,19.31,38.63,66,35,66,0.00,No
6,2025-02-13,22:56:30,31.10,63.00,320.94,7.41,2.96,4.94,249.15,24.69,49.38,77,45,77,0.00,No
7,2025-02-13,22:56:33,31.10,63.00,325.20,7.50,3.00,5.00,251.69,25.02,50.03,78,46,78,0.00,No
8,2025-02-13,22:56:35,31.10,63.00,312.71,7.22,2.89,4.81,244.22,24.05,48.11,76,44,76,0.00,No
9,2025-02-13,22:56:37,31.10,63.00,313.52,7.23,2.89,4.82,244.70,24.12,48.23,76,44,76,0.00,No
10,2025-02-13,22:56:39,31.10,63.00,313.52,7.23,2.89,4.82,244.70,24.12,48.23,76,44,76,0.00,No
11,2025-02-13,22:56:41,31.10,63.00,316.78,7.31,2.92,4.87,246.66,24.37,48.73,76,45,76,0.00,No
12,2025-02-13,22:56:43,31.10,64.00,315.14,7.27,2.91,4.85,245.67,24.24,48.48,76,44,76,0.00,No
13,2025-02-13,22:56:45,31.10,64.00,324.34,7.48,2.99,4.99,251.17,24.95,49.90,78,46,78,0.00,No
14,2025-02-13,22:56:47,31.10,64.00,326.07,7.52,3.01,5.02,252.20,25.08,50.16,78,46,78,0.00,No
15,2025-02-13,22:56:49,31.10,64.00,311.91,7.20,2.88,4.80,243.73,23.99,47.99,76,44,76,0.00,No
16,2025-02-13,22:56:51,31.10,64.00,322.63,7.45,2.98,4.96,250.16,24.82,49.64,77,45,77,0.00,No
17,2025-02-13,22:56:53,31.10,64.00,310.31,7.16,2.86,4.77,242.78,23.87,47.74,75,44,75,0.00,No
18,2025-02-13,22:56:56,31.10,64.00,326.94,7.54,3.02,5.03,252.72,25.15,50.30,78,46,78,0.00,No
19,2025-02-13,22:56:58,31.10,64.00,313.52,7.23,2.89,4.82,244.70,24.12,48.23,76,44,76,0.00,No
20,2025-02-13,22:57:00,31.10,64.00,294.41,6.79,2.72,4.53,233.15,22.65,45.29,73,41,73,0.00,No
21,2025-02-13,22:57:02,31.10,64.00,345.23,7.97,3.19,5.31,263.53,26.56,53.11,81,49,81,0.00,No
22,2025-02-13,22:57:04,31.00,64.00,313.52,7.23,2.89,4.82,244.70,24.12,48.23,76,44,76,0.00,No
23,2025-02-13,22:57:06,31.00,64.00,317.60,7.33,2.93,4.89,247.15,24.43,48.86,76,45,76,0.00,No
24,2025-02-13,22:57:08,31.00,64.00,312.71,7.22,2.89,4.81,244.22,24.05,48.11,76,44,76,0.00,No
25,2025-02-13,22:57:10,31.00,64.00,322.63,7.45,2.98,4.96,250.16,24.82,49.64,77,45,77,0.00,No
26,2025-02-13,22:57:12,31.00,64.00,322.63,7.45,2.98,4.96,250.16,24.82,49.64,77,45,77,0.00,No
27,2025-02-13,22:57:14,31.00,64.00,311.11,7.18,2.87,4.79,243.25,23.93,47.86,75,44,75,0.00,No
28,2025-02-13,22:57:16,31.00,64.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,0.00,No
29,2025-02-13,22:57:19,31.00,64.00,312.71,7.22,2.89,4.81,244.22,24.05,48.11,76,44,76,0.00,No
30,2025-02-13,22:57:21,31.00,64.00,315.14,7.27,2.91,4.85,245.67,24.24,48.48,76,44,76,0.00,No
31,2025-02-13,22:57:23,31.00,64.00,323.49,7.47,2.99,4.98,250.66,24.88,49.77,77,46,77,0.00,No
32,2025-02-13,22:57:25,31.00,64.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,0.00,No
33,2025-02-13,22:57:27,31.00,64.00,322.63,7.45,2.98,4.96,250.16,24.82,49.64,77,45,77,0.00,No
34,2025-02-13,22:57:29,31.00,64.00,315.96,7.29,2.92,4.86,246.16,24.30,48.61,76,45,76,0.00,No
35,2025-02-13,22:57:31,31.00,64.00,312.71,7.22,2.89,4.81,244.22,24.05,48.11,76,44,76,0.00,No
36,2025-02-13,22:57:33,31.00,64.00,326.07,7.52,3.01,5.02,252.20,25.08,50.16,78,46,78,0.00,No
37,2025-02-13,22:57:35,31.00,64.00,314.32,7.25,2.90,4.84,245.19,24.18,48.36,76,44,76,0.00,No
38,2025-02-13,22:57:37,31.00,64.00,322.63,7.45,2.98,4.96,250.16,24.82,49.64,77,45,77,0.00,No
39,2025-02-13,22:57:39,31.00,64.00,315.14,7.27,2.91,4.85,245.67,24.24,48.48,76,44,76,0.00,No
40,2025-02-13,22:57:42,31.00,64.00,312.71,7.22,2.89,4.81,244.22,24.05,48.11,76,44,76,0.00,No
41,2025-02-13,22:57:44,31.00,64.00,314.32,7.25,2.90,4.84,245.19,24.18,48.36,76,44,76,0.00,No
42,2025-02-13,22:57:46,31.00,64.00,374.17,8.63,3.45,5.76,280.35,28.78,57.57,86,52,86,0.00,No
43,2025-02-13,22:57:48,31.00,64.00,332.24,7.67,3.07,5.11,255.86,25.56,51.11,79,47,79,0.00,No
44,2025-02-13,22:57:50,31.00,64.00,315.14,7.27,2.91,4.85,245.67,24.24,48.48,76,44,76,0.00,No
45,2025-02-13,22:57:52,31.00,64.00,326.94,7.54,3.02,5.03,252.72,25.15,50.30,78,46,78,0.00,No
