Sl/No,Date,Time,Temperature,Humidity,CO_ppb,SO2_ppb,NO2_ppb,O3_ppb,CO2_ppm,PM2.5_ug/m3,PM10_ug/m3,AQI_PM2.5,AQI_PM10,Overall_AQI,Battery_Percentage,Rain_Detected
172,2025-02-14,14:34:22,33.50,52.00,312.71,7.22,2.89,4.81,244.22,24.05,48.11,76,44,76,100.00,No
1,2025-02-14,14:34:24,33.40,53.00,313.52,7.23,2.89,4.82,244.70,24.12,48.23,76,44,76,100.00,No
2,2025-02-14,14:34:26,33.40,53.00,312.71,7.22,2.89,4.81,244.22,24.05,48.11,76,44,76,100.00,No
3,2025-02-14,14:34:29,33.40,53.00,312.71,7.22,2.89,4.81,244.22,24.05,48.11,76,44,76,100.00,No
4,2025-02-14,14:34:31,33.40,53.00,312.71,7.22,2.89,4.81,244.22,24.05,48.11,76,44,76,100.00,No
5,2025-02-14,14:34:33,33.40,54.00,311.91,7.20,2.88,4.80,243.73,23.99,47.99,76,44,76,100.00,No
6,2025-02-14,14:34:35,33.40,54.00,311.11,7.18,2.87,4.79,243.25,23.93,47.86,75,44,75,100.00,No
7,2025-02-14,14:34:37,33.40,54.00,310.31,7.16,2.86,4.77,242.78,23.87,47.74,75,44,75,100.00,No
8,2025-02-14,14:34:39,33.40,54.00,313.52,7.23,2.89,4.82,244.70,24.12,48.23,76,44,76,100.00,No
9,2025-02-14,14:34:41,33.40,54.00,311.11,7.18,2.87,4.79,243.25,23.93,47.86,75,44,75,100.00,No
10,2025-02-14,14:34:43,33.40,54.00,310.31,7.16,2.86,4.77,242.78,23.87,47.74,75,44,75,100.00,No
11,2025-02-14,14:34:45,33.40,54.00,310.31,7.16,2.86,4.77,242.78,23.87,47.74,75,44,75,100.00,No
12,2025-02-14,14:34:47,33.40,54.00,310.31,7.16,2.86,4.77,242.78,23.87,47.74,75,44,75,100.00,No
13,2025-02-14,14:34:50,33.40,54.00,310.31,7.16,2.86,4.77,242.78,23.87,47.74,75,44,75,100.00,No
14,2025-02-14,14:34:52,33.50,54.00,310.31,7.16,2.86,4.77,242.78,23.87,47.74,75,44,75,100.00,No
15,2025-02-14,14:34:54,33.50,54.00,310.31,7.16,2.86,4.77,242.78,23.87,47.74,75,44,75,100.00,No
16,2025-02-14,14:34:56,33.50,53.00,310.31,7.16,2.86,4.77,242.78,23.87,47.74,75,44,75,100.00,No
17,2025-02-14,14:34:58,33.60,53.00,310.31,7.16,2.86,4.77,242.78,23.87,47.74,75,44,75,100.00,No
18,2025-02-14,14:35:00,33.60,53.00,311.11,7.18,2.87,4.79,243.25,23.93,47.86,75,44,75,100.00,No
19,2025-02-14,14:35:02,33.60,53.00,310.31,7.16,2.86,4.77,242.78,23.87,47.74,75,44,75,100.00,No
20,2025-02-14,14:35:04,33.70,53.00,307.95,7.11,2.84,4.74,241.35,23.69,47.38,75,43,75,100.00,No
21,2025-02-14,14:35:06,33.70,53.00,311.11,7.18,2.87,4.79,243.25,23.93,47.86,75,44,75,100.00,No
22,2025-02-14,14:35:08,33.80,53.00,307.95,7.11,2.84,4.74,241.35,23.69,47.38,75,43,75,100.00,No
23,2025-02-14,14:35:11,33.80,53.00,307.95,7.11,2.84,4.74,241.35,23.69,47.38,75,43,75,100.00,No
24,2025-02-14,14:35:13,33.90,52.00,313.52,7.23,2.89,4.82,244.70,24.12,48.23,76,44,76,100.00,No
25,2025-02-14,14:35:15,33.90,52.00,312.71,7.22,2.89,4.81,244.22,24.05,48.11,76,44,76,100.00,No
26,2025-02-14,14:35:17,33.90,52.00,314.32,7.25,2.90,4.84,245.19,24.18,48.36,76,44,76,100.00,No
27,2025-02-14,14:35:19,34.00,52.00,315.14,7.27,2.91,4.85,245.67,24.24,48.48,76,44,76,100.00,No
28,2025-02-14,14:35:21,34.00,52.00,315.14,7.27,2.91,4.85,245.67,24.24,48.48,76,44,76,100.00,No
29,2025-02-14,14:35:23,34.00,52.00,313.52,7.23,2.89,4.82,244.70,24.12,48.23,76,44,76,100.00,No
30,2025-02-14,14:35:25,34.00,52.00,311.91,7.20,2.88,4.80,243.73,23.99,47.99,76,44,76,100.00,No
31,2025-02-14,14:35:27,34.00,52.00,313.52,7.23,2.89,4.82,244.70,24.12,48.23,76,44,76,100.00,No
32,2025-02-14,14:35:29,34.00,52.00,312.71,7.22,2.89,4.81,244.22,24.05,48.11,76,44,76,100.00,No
33,2025-02-14,14:35:32,34.00,52.00,312.71,7.22,2.89,4.81,244.22,24.05,48.11,76,44,76,100.00,No
34,2025-02-14,14:35:34,34.00,53.00,311.11,7.18,2.87,4.79,243.25,23.93,47.86,75,44,75,100.00,No
35,2025-02-14,14:35:36,34.00,53.00,315.14,7.27,2.91,4.85,245.67,24.24,48.48,76,44,76,100.00,No
36,2025-02-14,14:35:38,34.00,53.00,315.14,7.27,2.91,4.85,245.67,24.24,48.48,76,44,76,100.00,No
37,2025-02-14,14:35:40,34.00,52.00,314.32,7.25,2.90,4.84,245.19,24.18,48.36,76,44,76,100.00,No
