Sl/No,Date,Time,Temperature,Humidity,CO_ppb,SO2_ppb,NO2_ppb,O3_ppb,CO2_ppm,PM2.5_ug/m3,PM10_ug/m3,AQI_PM2.5,AQI_PM10,Overall_AQI,Battery_Percentage,Rain_Detected
171,2025-02-14,15:52:35,31.80,58.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
1,2025-02-14,15:52:37,31.80,58.00,327.81,7.56,3.03,5.04,253.24,25.22,50.43,78,46,78,100.00,No
2,2025-02-14,15:52:39,31.80,58.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
3,2025-02-14,15:52:41,31.80,58.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
4,2025-02-14,15:52:43,31.80,58.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
5,2025-02-14,15:52:45,31.80,58.00,327.81,7.56,3.03,5.04,253.24,25.22,50.43,78,46,78,100.00,No
6,2025-02-14,15:52:47,31.80,58.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
7,2025-02-14,15:52:49,31.80,58.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
8,2025-02-14,15:52:52,31.80,58.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
9,2025-02-14,15:52:54,31.80,58.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
10,2025-02-14,15:52:56,31.90,58.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
11,2025-02-14,15:52:58,31.90,58.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
12,2025-02-14,15:53:00,31.90,58.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
13,2025-02-14,15:53:02,31.90,58.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
14,2025-02-14,15:53:04,31.90,58.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
15,2025-02-14,15:53:06,32.00,58.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
16,2025-02-14,15:53:08,32.00,58.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
17,2025-02-14,15:53:10,32.00,58.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
18,2025-02-14,15:53:13,32.00,58.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
19,2025-02-14,15:53:15,32.00,58.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
20,2025-02-14,15:53:17,32.10,58.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
21,2025-02-14,15:53:19,32.10,58.00,336.78,7.77,3.11,5.18,258.55,25.91,51.81,80,47,80,100.00,No
22,2025-02-14,15:53:21,32.10,58.00,338.63,7.81,3.13,5.21,259.64,26.05,52.10,80,48,80,100.00,No
23,2025-02-14,15:53:23,32.10,58.00,341.43,7.88,3.15,5.25,261.29,26.26,52.53,80,48,80,100.00,No
24,2025-02-14,15:53:25,32.10,58.00,341.43,7.88,3.15,5.25,261.29,26.26,52.53,80,48,80,100.00,No
25,2025-02-14,15:53:27,32.10,58.00,340.49,7.86,3.14,5.24,260.74,26.19,52.38,80,48,80,100.00,No
26,2025-02-14,15:53:29,32.10,57.00,342.37,7.90,3.16,5.27,261.85,26.34,52.67,80,48,80,100.00,No
27,2025-02-14,15:53:32,32.10,57.00,339.56,7.84,3.13,5.22,260.19,26.12,52.24,80,48,80,100.00,No
28,2025-02-14,15:53:34,32.10,57.00,338.63,7.81,3.13,5.21,259.64,26.05,52.10,80,48,80,100.00,No
29,2025-02-14,15:53:36,32.00,57.00,338.63,7.81,3.13,5.21,259.64,26.05,52.10,80,48,80,100.00,No
30,2025-02-14,15:53:38,32.00,57.00,334.95,7.73,3.09,5.15,257.47,25.77,51.53,79,47,79,100.00,No
31,2025-02-14,15:53:40,32.00,57.00,334.04,7.71,3.08,5.14,256.93,25.70,51.39,79,47,79,100.00,No
32,2025-02-14,15:53:42,32.00,58.00,336.78,7.77,3.11,5.18,258.55,25.91,51.81,80,47,80,100.00,No
33,2025-02-14,15:53:44,31.90,58.00,337.70,7.79,3.12,5.20,259.09,25.98,51.95,80,48,80,100.00,No
34,2025-02-14,15:53:46,31.90,58.00,336.78,7.77,3.11,5.18,258.55,25.91,51.81,80,47,80,100.00,No
35,2025-02-14,15:53:48,31.90,58.00,334.04,7.71,3.08,5.14,256.93,25.70,51.39,79,47,79,100.00,No
36,2025-02-14,15:53:51,31.90,58.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,100.00,No
37,2025-02-14,15:53:53,31.90,58.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,100.00,No
38,2025-02-14,15:53:55,31.90,58.00,337.70,7.79,3.12,5.20,259.09,25.98,51.95,80,48,80,100.00,No
39,2025-02-14,15:53:57,31.90,58.00,340.49,7.86,3.14,5.24,260.74,26.19,52.38,80,48,80,100.00,No
40,2025-02-14,15:53:59,31.90,58.00,337.70,7.79,3.12,5.20,259.09,25.98,51.95,80,48,80,100.00,No
41,2025-02-14,15:54:01,31.80,58.00,334.95,7.73,3.09,5.15,257.47,25.77,51.53,79,47,79,100.00,No
42,2025-02-14,15:54:03,31.80,58.00,334.04,7.71,3.08,5.14,256.93,25.70,51.39,79,47,79,100.00,No
43,2025-02-14,15:54:05,31.80,58.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
44,2025-02-14,15:54:07,31.80,58.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
45,2025-02-14,15:54:10,31.80,58.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
46,2025-02-14,15:54:12,31.80,58.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,100.00,No
47,2025-02-14,15:54:14,31.80,58.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,100.00,No
48,2025-02-14,15:54:16,31.80,58.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,100.00,No
49,2025-02-14,15:54:18,31.80,58.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
50,2025-02-14,15:54:20,31.80,58.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
51,2025-02-14,15:54:22,31.80,58.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
52,2025-02-14,15:54:24,31.80,58.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
53,2025-02-14,15:54:26,31.70,58.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
54,2025-02-14,15:54:29,31.70,58.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
55,2025-02-14,15:54:31,31.70,58.00,334.95,7.73,3.09,5.15,257.47,25.77,51.53,79,47,79,100.00,No
56,2025-02-14,15:54:33,31.70,58.00,336.78,7.77,3.11,5.18,258.55,25.91,51.81,80,47,80,100.00,No
57,2025-02-14,15:54:35,31.70,58.00,332.24,7.67,3.07,5.11,255.86,25.56,51.11,79,47,79,100.00,No
58,2025-02-14,15:54:37,31.70,58.00,332.24,7.67,3.07,5.11,255.86,25.56,51.11,79,47,79,100.00,No
59,2025-02-14,15:54:39,31.70,58.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
60,2025-02-14,15:54:41,31.70,58.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
61,2025-02-14,15:54:43,31.70,58.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
62,2025-02-14,15:54:45,31.70,58.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
63,2025-02-14,15:54:48,31.70,58.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
64,2025-02-14,15:54:50,31.70,58.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,100.00,No
65,2025-02-14,15:54:52,31.70,58.00,334.04,7.71,3.08,5.14,256.93,25.70,51.39,79,47,79,100.00,No
66,2025-02-14,15:54:54,31.70,58.00,335.86,7.75,3.10,5.17,258.01,25.84,51.67,79,47,79,100.00,No
67,2025-02-14,15:54:56,31.70,58.00,336.78,7.77,3.11,5.18,258.55,25.91,51.81,80,47,80,100.00,No
68,2025-02-14,15:54:58,31.70,58.00,334.04,7.71,3.08,5.14,256.93,25.70,51.39,79,47,79,100.00,No
69,2025-02-14,15:55:00,31.70,58.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,100.00,No
70,2025-02-14,15:55:02,31.70,58.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
71,2025-02-14,15:55:04,31.70,58.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,100.00,No
72,2025-02-14,15:55:07,31.70,58.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
73,2025-02-14,15:55:09,31.70,58.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
74,2025-02-14,15:55:11,31.70,58.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
75,2025-02-14,15:55:13,31.70,58.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
76,2025-02-14,15:55:15,31.70,58.00,334.95,7.73,3.09,5.15,257.47,25.77,51.53,79,47,79,100.00,No
77,2025-02-14,15:55:17,31.70,58.00,332.24,7.67,3.07,5.11,255.86,25.56,51.11,79,47,79,100.00,No
78,2025-02-14,15:55:19,31.70,58.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
79,2025-02-14,15:55:21,31.80,58.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
80,2025-02-14,15:55:23,31.80,58.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
81,2025-02-14,15:55:26,31.80,58.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,100.00,No
82,2025-02-14,15:55:28,31.80,58.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
83,2025-02-14,15:55:30,31.80,58.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,100.00,No
84,2025-02-14,15:55:32,31.80,58.00,332.24,7.67,3.07,5.11,255.86,25.56,51.11,79,47,79,100.00,No
85,2025-02-14,15:55:34,31.80,58.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
86,2025-02-14,15:55:36,31.80,58.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
87,2025-02-14,15:55:38,31.80,58.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,100.00,No
88,2025-02-14,15:55:40,31.80,59.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
89,2025-02-14,15:55:42,31.80,59.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,100.00,No
90,2025-02-14,15:55:45,31.80,59.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,100.00,No
91,2025-02-14,15:55:47,31.80,59.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,100.00,No
92,2025-02-14,15:55:49,31.80,59.00,334.04,7.71,3.08,5.14,256.93,25.70,51.39,79,47,79,100.00,No
93,2025-02-14,15:55:51,31.80,58.00,334.04,7.71,3.08,5.14,256.93,25.70,51.39,79,47,79,100.00,No
94,2025-02-14,15:55:53,31.90,58.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,100.00,No
95,2025-02-14,15:55:55,31.90,58.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,100.00,No
96,2025-02-14,15:55:57,31.90,58.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,100.00,No
