Sl/No,Date,Time,Temperature,Humidity,CO_ppb,SO2_ppb,NO2_ppb,O3_ppb,CO2_ppm,PM2.5_ug/m3,PM10_ug/m3,AQI_PM2.5,AQI_PM10,Overall_AQI,Battery_Percentage,Rain_Detected
170,2025-02-14,17:04:46,31.90,58.00,366.54,8.46,3.38,5.64,275.94,28.20,56.39,84,51,84,100.00,No
1,2025-02-14,17:04:48,32.00,58.00,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82,-1,82,100.00,No
2,2025-02-14,17:04:51,32.00,58.00,351.09,8.10,3.24,5.40,266.96,27.01,54.01,82,-1,82,100.00,No
3,2025-02-14,17:04:53,32.00,58.00,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82,-1,82,100.00,No
4,2025-02-14,17:04:55,32.00,58.00,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82,-1,82,100.00,No
5,2025-02-14,17:04:57,32.00,58.00,351.09,8.10,3.24,5.40,266.96,27.01,54.01,82,-1,82,100.00,No
6,2025-02-14,17:04:59,32.00,58.00,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82,-1,82,100.00,No
7,2025-02-14,17:05:01,32.10,58.00,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82,-1,82,100.00,No
8,2025-02-14,17:05:03,32.10,58.00,350.10,8.08,3.23,5.39,266.38,26.93,53.86,82,49,82,100.00,No
9,2025-02-14,17:05:05,32.10,58.00,350.10,8.08,3.23,5.39,266.38,26.93,53.86,82,49,82,100.00,No
10,2025-02-14,17:05:07,32.10,58.00,350.10,8.08,3.23,5.39,266.38,26.93,53.86,82,49,82,100.00,No
11,2025-02-14,17:05:10,32.10,58.00,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82,-1,82,100.00,No
12,2025-02-14,17:05:12,32.10,58.00,350.10,8.08,3.23,5.39,266.38,26.93,53.86,82,49,82,100.00,No
13,2025-02-14,17:05:14,32.20,58.00,350.10,8.08,3.23,5.39,266.38,26.93,53.86,82,49,82,100.00,No
14,2025-02-14,17:05:16,32.20,58.00,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82,-1,82,100.00,No
15,2025-02-14,17:05:18,32.20,58.00,349.12,8.06,3.22,5.37,265.80,26.86,53.71,82,49,82,100.00,No
16,2025-02-14,17:05:20,32.20,58.00,350.10,8.08,3.23,5.39,266.38,26.93,53.86,82,49,82,100.00,No
17,2025-02-14,17:05:22,32.20,58.00,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82,-1,82,100.00,No
18,2025-02-14,17:05:24,32.30,58.00,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82,-1,82,100.00,No
19,2025-02-14,17:05:26,32.30,58.00,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82,-1,82,100.00,No
20,2025-02-14,17:05:29,32.30,58.00,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82,-1,82,100.00,No
21,2025-02-14,17:05:31,32.30,58.00,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82,-1,82,100.00,No
22,2025-02-14,17:05:33,32.30,58.00,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82,-1,82,100.00,No
23,2025-02-14,17:05:35,32.30,58.00,354.08,8.17,3.27,5.45,268.70,27.24,54.47,82,-1,82,100.00,No
24,2025-02-14,17:05:37,32.40,58.00,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82,-1,82,100.00,No
25,2025-02-14,17:05:39,32.40,58.00,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82,-1,82,100.00,No
26,2025-02-14,17:05:41,32.40,58.00,354.08,8.17,3.27,5.45,268.70,27.24,54.47,82,-1,82,100.00,No
27,2025-02-14,17:05:43,32.40,58.00,354.08,8.17,3.27,5.45,268.70,27.24,54.47,82,-1,82,100.00,No
28,2025-02-14,17:05:45,32.40,58.00,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82,-1,82,100.00,No
29,2025-02-14,17:05:48,32.40,58.00,350.10,8.08,3.23,5.39,266.38,26.93,53.86,82,49,82,100.00,No
30,2025-02-14,17:05:50,32.40,58.00,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82,-1,82,100.00,No
31,2025-02-14,17:05:52,32.40,58.00,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82,-1,82,100.00,No
32,2025-02-14,17:05:54,32.40,58.00,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82,-1,82,100.00,No
33,2025-02-14,17:05:56,32.50,58.00,354.08,8.17,3.27,5.45,268.70,27.24,54.47,82,-1,82,100.00,No
34,2025-02-14,17:05:58,32.50,58.00,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82,-1,82,100.00,No
35,2025-02-14,17:06:00,32.50,58.00,354.08,8.17,3.27,5.45,268.70,27.24,54.47,82,-1,82,100.00,No
36,2025-02-14,17:06:02,32.50,58.00,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82,-1,82,100.00,No
37,2025-02-14,17:06:04,32.50,58.00,356.10,8.22,3.29,5.48,269.88,27.39,54.79,83,-1,83,100.00,No
