Sl/No,Date,Time,Temperature,Humidity,CO_ppb,SO2_ppb,NO2_ppb,O3_ppb,CO2_ppm,PM2.5_ug/m3,PM10_ug/m3,AQI_PM2.5,AQI_PM10,Overall_AQI,Battery_Percentage,Rain_Detected
173,2025-02-10,15:47:00,31.50,51.00,362.30,8.36,3.34,5.57,273.49,27.87,55.74,84,51,84,0.00,No
1,2025-02-10,15:47:03,31.50,51.00,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82,-1,82,0.00,No
2,2025-02-10,15:47:05,31.50,51.00,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82,-1,82,0.00,No
3,2025-02-10,15:47:07,31.50,50.00,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82,-1,82,0.00,No
4,2025-02-10,15:47:09,31.50,50.00,357.12,8.24,3.30,5.49,270.48,27.47,54.94,83,-1,83,0.00,No
5,2025-02-10,15:47:11,31.60,50.00,354.08,8.17,3.27,5.45,268.70,27.24,54.47,82,-1,82,0.00,No
6,2025-02-10,15:47:13,31.60,50.00,356.10,8.22,3.29,5.48,269.88,27.39,54.79,83,-1,83,0.00,No
7,2025-02-10,15:47:15,31.60,50.00,354.08,8.17,3.27,5.45,268.70,27.24,54.47,82,-1,82,0.00,No
8,2025-02-10,15:47:17,31.60,50.00,350.10,8.08,3.23,5.39,266.38,26.93,53.86,82,49,82,0.00,No
9,2025-02-10,15:47:19,31.60,50.00,356.10,8.22,3.29,5.48,269.88,27.39,54.79,83,-1,83,0.00,No
10,2025-02-10,15:47:21,31.60,50.00,357.12,8.24,3.30,5.49,270.48,27.47,54.94,83,-1,83,0.00,No
11,2025-02-10,15:47:23,31.60,50.00,358.15,8.26,3.31,5.51,271.07,27.55,55.10,83,51,83,0.00,No
12,2025-02-10,15:47:25,31.60,50.00,356.10,8.22,3.29,5.48,269.88,27.39,54.79,83,-1,83,0.00,No
13,2025-02-10,15:47:28,31.60,50.00,358.15,8.26,3.31,5.51,271.07,27.55,55.10,83,51,83,0.00,No
14,2025-02-10,15:47:30,31.70,50.00,354.08,8.17,3.27,5.45,268.70,27.24,54.47,82,-1,82,0.00,No
15,2025-02-10,15:47:32,31.70,50.00,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82,-1,82,0.00,No
16,2025-02-10,15:47:34,31.70,50.00,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82,-1,82,0.00,No
