Sl/No,Date,Time,Temperature,Humidity,CO_ppb,SO2_ppb,NO2_ppb,O3_ppb,CO2_ppm,PM2.5_ug/m3,PM10_ug/m3,AQI_PM2.5,AQI_PM10,Overall_AQI,Battery_Percentage,Rain_Detected
173,2025-02-10,15:22:56,32.50,44.00,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86,52,86,0.00,No
1,2025-02-10,15:22:58,32.50,44.00,370.87,8.56,3.42,5.71,278.45,28.53,57.06,85,52,85,0.00,No
2,2025-02-10,15:23:00,32.50,44.00,368.69,8.51,3.40,5.67,277.19,28.36,56.72,85,51,85,0.00,No
3,2025-02-10,15:23:03,32.50,44.00,370.87,8.56,3.42,5.71,278.45,28.53,57.06,85,52,85,0.00,No
4,2025-02-10,15:23:05,32.50,44.00,368.69,8.51,3.40,5.67,277.19,28.36,56.72,85,51,85,0.00,No
5,2025-02-10,15:23:07,32.60,44.00,365.47,8.43,3.37,5.62,275.33,28.11,56.23,84,51,84,0.00,No
6,2025-02-10,15:23:09,32.60,44.00,369.77,8.53,3.41,5.69,277.82,28.44,56.89,85,51,85,0.00,No
7,2025-02-10,15:23:11,32.60,44.00,370.87,8.56,3.42,5.71,278.45,28.53,57.06,85,52,85,0.00,No
8,2025-02-10,15:23:13,32.60,44.00,369.77,8.53,3.41,5.69,277.82,28.44,56.89,85,51,85,0.00,No
9,2025-02-10,15:23:15,32.60,44.00,365.47,8.43,3.37,5.62,275.33,28.11,56.23,84,51,84,0.00,No
10,2025-02-10,15:23:17,32.60,44.00,369.77,8.53,3.41,5.69,277.82,28.44,56.89,85,51,85,0.00,No
11,2025-02-10,15:23:19,32.60,44.00,369.77,8.53,3.41,5.69,277.82,28.44,56.89,85,51,85,0.00,No
12,2025-02-10,15:23:21,32.60,44.00,370.87,8.56,3.42,5.71,278.45,28.53,57.06,85,52,85,0.00,No
13,2025-02-10,15:23:23,32.60,44.00,368.69,8.51,3.40,5.67,277.19,28.36,56.72,85,51,85,0.00,No
14,2025-02-10,15:23:25,32.60,44.00,369.77,8.53,3.41,5.69,277.82,28.44,56.89,85,51,85,0.00,No
15,2025-02-10,15:23:28,32.60,44.00,366.54,8.46,3.38,5.64,275.94,28.20,56.39,84,51,84,0.00,No
16,2025-02-10,15:23:30,32.60,44.00,364.41,8.41,3.36,5.61,274.71,28.03,56.06,84,51,84,0.00,No
17,2025-02-10,15:23:32,32.60,44.00,365.47,8.43,3.37,5.62,275.33,28.11,56.23,84,51,84,0.00,No
18,2025-02-10,15:23:34,32.60,44.00,370.87,8.56,3.42,5.71,278.45,28.53,57.06,85,52,85,0.00,No
19,2025-02-10,15:23:36,32.60,44.00,368.69,8.51,3.40,5.67,277.19,28.36,56.72,85,51,85,0.00,No
20,2025-02-10,15:23:38,32.60,44.00,364.41,8.41,3.36,5.61,274.71,28.03,56.06,84,51,84,0.00,No
21,2025-02-10,15:23:40,32.60,44.00,365.47,8.43,3.37,5.62,275.33,28.11,56.23,84,51,84,0.00,No
22,2025-02-10,15:23:42,32.60,44.00,366.54,8.46,3.38,5.64,275.94,28.20,56.39,84,51,84,0.00,No
23,2025-02-10,15:23:44,32.60,44.00,365.47,8.43,3.37,5.62,275.33,28.11,56.23,84,51,84,0.00,No
24,2025-02-10,15:23:46,32.60,44.00,370.87,8.56,3.42,5.71,278.45,28.53,57.06,85,52,85,0.00,No
25,2025-02-10,15:23:48,32.60,44.00,369.77,8.53,3.41,5.69,277.82,28.44,56.89,85,51,85,0.00,No
26,2025-02-10,15:23:50,32.60,44.00,369.77,8.53,3.41,5.69,277.82,28.44,56.89,85,51,85,0.00,No
27,2025-02-10,15:23:53,32.60,44.00,370.87,8.56,3.42,5.71,278.45,28.53,57.06,85,52,85,0.00,No
28,2025-02-10,15:23:55,32.60,44.00,368.69,8.51,3.40,5.67,277.19,28.36,56.72,85,51,85,0.00,No
29,2025-02-10,15:23:57,32.60,44.00,367.61,8.48,3.39,5.66,276.57,28.28,56.56,85,51,85,0.00,No
30,2025-02-10,15:23:59,32.60,44.00,368.69,8.51,3.40,5.67,277.19,28.36,56.72,85,51,85,0.00,No
31,2025-02-10,15:24:01,32.60,44.00,368.69,8.51,3.40,5.67,277.19,28.36,56.72,85,51,85,0.00,No
32,2025-02-10,15:24:03,32.60,44.00,369.77,8.53,3.41,5.69,277.82,28.44,56.89,85,51,85,0.00,No
33,2025-02-10,15:24:05,32.60,44.00,365.47,8.43,3.37,5.62,275.33,28.11,56.23,84,51,84,0.00,No
34,2025-02-10,15:24:07,32.60,44.00,366.54,8.46,3.38,5.64,275.94,28.20,56.39,84,51,84,0.00,No
35,2025-02-10,15:24:09,32.60,44.00,368.69,8.51,3.40,5.67,277.19,28.36,56.72,85,51,85,0.00,No
36,2025-02-10,15:24:11,32.60,44.00,371.96,8.58,3.43,5.72,279.08,28.61,57.22,85,52,85,0.00,No
37,2025-02-10,15:24:13,32.60,44.00,365.47,8.43,3.37,5.62,275.33,28.11,56.23,84,51,84,0.00,No
38,2025-02-10,15:24:15,32.60,44.00,368.69,8.51,3.40,5.67,277.19,28.36,56.72,85,51,85,0.00,No
39,2025-02-10,15:24:17,32.60,44.00,365.47,8.43,3.37,5.62,275.33,28.11,56.23,84,51,84,0.00,No
40,2025-02-10,15:24:20,32.60,44.00,368.69,8.51,3.40,5.67,277.19,28.36,56.72,85,51,85,0.00,No
41,2025-02-10,15:24:22,32.60,44.00,365.47,8.43,3.37,5.62,275.33,28.11,56.23,84,51,84,0.00,No
42,2025-02-10,15:24:24,32.60,44.00,365.47,8.43,3.37,5.62,275.33,28.11,56.23,84,51,84,0.00,No
43,2025-02-10,15:24:26,32.60,44.00,365.47,8.43,3.37,5.62,275.33,28.11,56.23,84,51,84,0.00,No
44,2025-02-10,15:24:28,32.60,44.00,369.77,8.53,3.41,5.69,277.82,28.44,56.89,85,51,85,0.00,No
45,2025-02-10,15:24:30,32.60,44.00,369.77,8.53,3.41,5.69,277.82,28.44,56.89,85,51,85,0.00,No
46,2025-02-10,15:24:32,32.60,44.00,345.23,7.97,3.19,5.31,263.53,26.56,53.11,81,49,81,0.00,No
47,2025-02-10,15:24:34,32.60,44.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,0.00,No
48,2025-02-10,15:24:36,32.60,44.00,320.10,7.39,2.95,4.92,248.64,24.62,49.25,77,45,77,0.00,No
49,2025-02-10,15:24:38,32.60,45.00,302.56,6.98,2.79,4.65,238.10,23.27,46.55,74,43,74,0.00,No
50,2025-02-10,15:24:40,32.60,45.00,300.30,6.93,2.77,4.62,236.73,23.10,46.20,74,42,74,0.00,No
51,2025-02-10,15:24:43,32.60,45.00,288.73,6.66,2.67,4.44,229.69,22.21,44.42,72,41,72,0.00,No
52,2025-02-10,15:24:45,32.60,45.00,292.26,6.74,2.70,4.50,231.84,22.48,44.96,72,41,72,0.00,No
53,2025-02-10,15:24:47,32.60,45.00,291.55,6.73,2.69,4.49,231.41,22.43,44.85,72,41,72,0.00,No
54,2025-02-10,15:24:49,32.60,45.00,298.81,6.90,2.76,4.60,235.82,22.99,45.97,73,42,73,0.00,No
55,2025-02-10,15:24:51,32.60,45.00,300.30,6.93,2.77,4.62,236.73,23.10,46.20,74,42,74,0.00,No
56,2025-02-10,15:24:53,32.60,45.00,303.32,7.00,2.80,4.67,238.56,23.33,46.66,74,43,74,0.00,No
57,2025-02-10,15:24:55,32.60,45.00,307.17,7.09,2.84,4.73,240.88,23.63,47.26,75,43,75,0.00,No
58,2025-02-10,15:24:57,32.60,44.00,309.52,7.14,2.86,4.76,242.30,23.81,47.62,75,44,75,0.00,No
59,2025-02-10,15:24:59,32.60,44.00,314.32,7.25,2.90,4.84,245.19,24.18,48.36,76,44,76,0.00,No
60,2025-02-10,15:25:01,32.60,44.00,314.32,7.25,2.90,4.84,245.19,24.18,48.36,76,44,76,0.00,No
61,2025-02-10,15:25:03,32.60,44.00,315.96,7.29,2.92,4.86,246.16,24.30,48.61,76,45,76,0.00,No
62,2025-02-10,15:25:05,32.60,44.00,315.96,7.29,2.92,4.86,246.16,24.30,48.61,76,45,76,0.00,No
63,2025-02-10,15:25:08,32.60,44.00,315.14,7.27,2.91,4.85,245.67,24.24,48.48,76,44,76,0.00,No
64,2025-02-10,15:25:10,32.60,44.00,315.14,7.27,2.91,4.85,245.67,24.24,48.48,76,44,76,0.00,No
65,2025-02-10,15:25:12,32.60,44.00,315.14,7.27,2.91,4.85,245.67,24.24,48.48,76,44,76,0.00,No
66,2025-02-10,15:25:14,32.60,44.00,317.60,7.33,2.93,4.89,247.15,24.43,48.86,76,45,76,0.00,No
67,2025-02-10,15:25:16,32.60,44.00,319.26,7.37,2.95,4.91,248.14,24.56,49.12,77,45,77,0.00,No
68,2025-02-10,15:25:18,32.60,44.00,324.34,7.48,2.99,4.99,251.17,24.95,49.90,78,46,78,0.00,No
69,2025-02-10,15:25:20,32.60,44.00,324.34,7.48,2.99,4.99,251.17,24.95,49.90,78,46,78,0.00,No
70,2025-02-10,15:25:22,32.60,44.00,324.34,7.48,2.99,4.99,251.17,24.95,49.90,78,46,78,0.00,No
71,2025-02-10,15:25:24,32.60,44.00,326.07,7.52,3.01,5.02,252.20,25.08,50.16,78,46,78,0.00,No
72,2025-02-10,15:25:26,32.60,44.00,324.34,7.48,2.99,4.99,251.17,24.95,49.90,78,46,78,0.00,No
73,2025-02-10,15:25:29,32.60,44.00,327.81,7.56,3.03,5.04,253.24,25.22,50.43,78,46,78,0.00,No
74,2025-02-10,15:25:31,32.60,44.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,0.00,No
75,2025-02-10,15:25:33,32.60,44.00,326.07,7.52,3.01,5.02,252.20,25.08,50.16,78,46,78,0.00,No
76,2025-02-10,15:25:35,32.60,44.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,0.00,No
77,2025-02-10,15:25:37,32.60,45.00,327.81,7.56,3.03,5.04,253.24,25.22,50.43,78,46,78,0.00,No
78,2025-02-10,15:25:39,32.60,45.00,328.69,7.59,3.03,5.06,253.76,25.28,50.57,78,46,78,0.00,No
79,2025-02-10,15:25:41,32.60,45.00,326.94,7.54,3.02,5.03,252.72,25.15,50.30,78,46,78,0.00,No
80,2025-02-10,15:25:43,32.60,45.00,326.07,7.52,3.01,5.02,252.20,25.08,50.16,78,46,78,0.00,No
81,2025-02-10,15:25:45,32.60,45.00,330.46,7.63,3.05,5.08,254.81,25.42,50.84,79,47,79,0.00,No
82,2025-02-10,15:25:47,32.60,45.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,0.00,No
83,2025-02-10,15:25:49,32.60,45.00,329.57,7.61,3.04,5.07,254.28,25.35,50.70,78,46,78,0.00,No
84,2025-02-10,15:25:51,32.60,45.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,0.00,No
85,2025-02-10,15:25:54,32.60,45.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,0.00,No
86,2025-02-10,15:25:56,32.60,45.00,331.35,7.65,3.06,5.10,255.33,25.49,50.98,79,47,79,0.00,No
87,2025-02-10,15:25:58,32.60,45.00,336.78,7.77,3.11,5.18,258.55,25.91,51.81,80,47,80,0.00,No
88,2025-02-10,15:26:00,32.60,45.00,334.04,7.71,3.08,5.14,256.93,25.70,51.39,79,47,79,0.00,No
89,2025-02-10,15:26:02,32.50,45.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,0.00,No
90,2025-02-10,15:26:04,32.50,45.00,333.14,7.69,3.08,5.13,256.40,25.63,51.25,79,47,79,0.00,No
91,2025-02-10,15:26:06,32.50,45.00,336.78,7.77,3.11,5.18,258.55,25.91,51.81,80,47,80,0.00,No
